gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
PER3,0.9523809523809523,0.6666666666666666,1.0,0.0,1.0,0.02,0.9523809523809523,0.6666666666666666,1.0,0.0,1.0,23,21,2
GDF6,0.8783783783783784,0.4,1.0,0.0,1.0,0.023000000000000003,0.8918918918918919,0.42857142857142855,1.0,0.0,1.0,40,37,3
CCND2,0.9199999999999999,0.6666666666666666,1.0,0.0,1.0,0.022000000000000002,0.94,0.7272727272727273,1.0,0.0,1.0,29,25,4
MPI,0.9655172413793103,0.9285714285714286,1.0,0.0,1.0,0.02,0.9655172413793103,0.9285714285714286,1.0,0.0,1.0,42,29,13
MPL,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.1333333333333333,0.8666666666666667,0.02,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.1333333333333333,0.8666666666666667,57,42,15
HUWE1,0.9141025641025641,0.6608695652173913,0.9743589743589743,0.02564102564102566,0.9743589743589743,0.027000000000000007,0.9275641025641026,0.7037037037037037,0.9487179487179487,0.05128205128205132,0.9487179487179487,299,260,39
SNCA,0.9736842105263158,0.5,1.0,0.0,1.0,0.02,0.9736842105263158,0.5,1.0,0.0,1.0,39,38,1
ZFYVE26,0.9673913043478262,0.8363636363636363,1.0,0.0,1.0,0.02,0.9673913043478262,0.8363636363636363,1.0,0.0,1.0,161,138,23
GFI1B,0.875,0.5,1.0,0.0,1.0,0.02,0.875,0.5,1.0,0.0,1.0,18,16,2
CYBB,0.9347826086956521,0.9600000000000001,1.0,0.0,1.0,0.024000000000000004,0.9782608695652174,0.9863013698630138,1.0,0.0,1.0,59,23,36
ALDH4A1,0.9761904761904762,0.5,1.0,0.0,1.0,0.024000000000000004,0.988095238095238,0.6666666666666666,1.0,0.0,1.0,43,42,1
KLHL41,0.9500000000000001,0.6666666666666666,1.0,0.0,1.0,0.02,0.9500000000000001,0.6666666666666666,1.0,0.0,1.0,11,10,1
CCDC151,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,28,26,2
KLHL40,0.8535714285714285,0.75,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.024000000000000004,0.8785714285714286,0.7999999999999999,0.8571428571428571,0.1428571428571429,0.8571428571428571,27,20,7
